design_id,competition_id,polarity,statement_index,tag,statement
A4,A,positive,9,structure,The independent gymnasium avoids complex overbuilt-hall statics and cleverly bridges the terrain jump.
A4,A,positive,10,urban integration,"The first-stage development establishes simple, clear urban structuring with comprehensible extensions."
A4,A,positive,11,cost,"Compactness, simple construction and the section promise efficient, cost-effective implementation."
A4,A,negative,1,identity,The identity and atmosphere of the site remain unanswered.
A4,A,negative,2,circulation,The very fragmented and restrained access zones are unlikely to meet pedagogical requirements.
A4,A,negative,3,identity,The desired atmosphere in the building and everyday school life remain difficult to read.
A4,A,negative,4,identity,The proposal does not convincingly demonstrate the future face of the secondary school or the next pedagogical step.
A4,A,negative,5,urban integration,The future extension thickens the building considerably and obscures the simple urban-planning principles.
A4,A,negative,6,layout,The simplicity of the interior does not convincingly express the desired pedagogical landscape.
A4,A,negative,6,functionality,The simplicity of the interior does not convincingly express the desired pedagogical landscape.
A5,A,positive,1,massing,The dialogue between the dense body and open outdoor area creates atmospheric tension.
A5,A,positive,1,open space,The dialogue between the dense body and open outdoor area creates atmospheric tension.
A5,A,positive,2,layout,The basic spatial-functional concept appears clear and significant.
A5,A,positive,3,functionality,The special uses in the base create a certain public character.
A5,A,positive,4,layout,The small-scale room clusters above create an introverted learning landscape.
A5,A,positive,5,daylight,Courtyards and a shed roof provide the upper floors with a coherent daylight strategy.
A5,A,positive,6,flexibility,The linear structure can be extended toward the forecourt for future space requirements.
A5,A,negative,1,massing,The upper and lower levels form a dichotomy unfavourably accentuated by the height difference.
A5,A,negative,1,topography,The upper and lower levels form a dichotomy unfavourably accentuated by the height difference.
A5,A,negative,2,scale,The entrance area and its large staircase appear oversized and inappropriate for the location.
A5,A,negative,3,open space,The lower area is a wild juxtaposition of playing fields without spatial qualities.
A5,A,negative,4,landscape,The narrow green strips with few trees degenerate into residual areas.
A5,A,negative,5,landscape,The project does not develop a coherent and overarching open-space concept.
A5,A,negative,6,daylight,"The two equivalent classroom floors have different lighting and use qualities, disadvantaging the middle floor."
A5,A,negative,7,layout,The desired small-scale spatial resolution becomes a disadvantage on the middle floor.
A5,A,negative,8,facade,The formal unification of the upper floor appears superimposed in its context and makes the school barely visible from outside.
A5,A,negative,9,urban integration,The future extension greatly thickens the building and obscures the simple urban-planning principles.
A5,A,negative,10,structure,The two stacked room typologies do not work together structurally.
A6,A,positive,1,urban integration,The chosen positioning and cross-shaped structure expose only relatively short facades toward the neighbourhood.
A6,A,positive,2,landscape,"Hornbeams and string trees create a calm, natural vegetative framework."
A6,A,positive,3,layout,"The wing-like organization around a public, multifunctional zone is convincing."
A6,A,positive,4,facade,"The atmospheric expression combines light concrete, elm wood and carefully treated metals."
A6,A,positive,5,urban integration,The proposal seeks a restrained scale in relation to the low-density neighbourhood.
A6,A,negative,1,urban integration,"The wide wing projections bring the volume critically close to the property boundaries, so the claim of restraint is not fulfilled."
A6,A,negative,2,open space,"The placement creates confusing, small-scale peripheral spaces."
A6,A,negative,3,accessibility,"Parking lots extend far into the complex, consume valuable pupil space and make access more difficult."
A6,A,negative,4,flexibility,The three-wing form for 18 classes is not convincing; the large-scale form only comes together at 27 classes.
A6,A,negative,5,functionality,The proposed second stage is uncertain and would require problematic programmatic compromises.
A6,A,negative,5,flexibility,The proposed second stage is uncertain and would require problematic programmatic compromises.
A6,A,negative,6,circulation,"The main entrance is uninviting and peripheral, especially in the 18-class version."
A6,A,negative,7,layout,"The formerly large, open hall was sacrificed for a small-scale, diffuse and unconvincing central zone."
A6,A,negative,8,fire safety,"The project barely meets requirements for fire protection, sustainability and economy."
A6,A,negative,8,sustainability,"The project barely meets requirements for fire protection, sustainability and economy."
A6,A,negative,8,cost,"The project barely meets requirements for fire protection, sustainability and economy."
A6,A,negative,9,cost,"The gymnasium extension greatly increases volume and excavation, leading to relatively high costs."
A6,A,negative,10,daylight,Numerous uses below terrain receive hardly any natural lighting.
A6,A,negative,11,facade,The materialization appears forced and is more reminiscent of noble residential buildings than a secondary school.
A7,A,positive,1,urban integration,The compact volume and square between the existing volumes establish a clear basic arrangement.
A7,A,positive,2,layout,"Locating public uses such as management, media library and assembly hall on the first floor is positive."
A7,A,positive,2,functionality,"Locating public uses such as management, media library and assembly hall on the first floor is positive."
A7,A,positive,3,daylight,The level change naturally lights the gymnasiums and enables a side entrance and covered-playground connection.
A7,A,positive,4,circulation,The main entrance at the north-east corner is a clever solution.
A7,A,positive,5,proportion,"The entrance, foyer and assembly hall have a pleasant and generous overheight."
A7,A,positive,6,circulation,"The open main staircase connects all floors, with closed staircases resolving escape routes."
A7,A,positive,7,layout,The continuous atriums provide views and create additional space.
A7,A,positive,7,visibility,The continuous atriums provide views and create additional space.
A7,A,positive,8,structure,The authors make productive use of the spaces generated by the structural system.
A7,A,negative,1,topography,The storey-high offset divides the site unconvincingly in the slightly sloping terrain.
A7,A,negative,2,massing,"The lower level has its own scale and structure, with little relationship to the upper level."
A7,A,negative,3,layout,The rooms along all four facades prevent dialogue between the central zone and outside space.
A7,A,negative,4,daylight,"The atriums' dimensions make the light intensity seem rather low, at least on the second floor."
A7,A,negative,5,structure,Overlapping structural concepts lead to spatial constraints.
A7,A,negative,6,flexibility,"The apparent flexibility is only partial, and the access zone is particularly problematic for learning landscapes or studios."
A7,A,negative,7,circulation,The resulting corridors lack spatial quality.
A7,A,negative,8,layout,The strong basic concept of the first level has been obscured and is not convincing overall.
AA1,AA,positive,1,urban integration,The volume generates a square-like connecting outdoor space between the existing campus buildings.
AA1,AA,positive,2,urban integration,The transparent first floor signals a main building and enlivens the public space through the interplay of interior and exterior activity.
AA1,AA,positive,3,circulation,The offset in the glass facade makes the entrance easily identifiable.
AA1,AA,positive,4,circulation,The two-storey foyer gives visitors an overview of the building's spatial structure and opens toward the green space.
AA1,AA,positive,5,circulation,"The foyer provides access to a sheltered, tree-lined courtyard."
AA1,AA,positive,6,urban integration,The low apparent height toward the primary-school playground respects the existing buildings.
AA1,AA,positive,7,urban integration,"Integrating the underground-car-park exit, bicycle room and break hall strengthens the clear urban proposal."
AA1,AA,positive,8,cost,"The compact volume and reduced structure produce a clear, efficient building."
AA1,AA,positive,9,flexibility,The well-structured skeleton allows flexibility for future room allocation and changes of use.
AA1,AA,positive,10,identity,The project reflects a contemporary open school and research facility.
AA1,AA,negative,1,functionality,The usable area of the covered playground is a third too small.
AA1,AA,negative,2,accessibility,The large PWD classroom has no direct connection to the outside.
AA1,AA,negative,3,layout,"The utility rooms are separated from the school kitchen, and the MDZ layout is organizationally difficult."
AA1,AA,negative,4,structure,The vertical offset of the south-facing column grid and the non-overlapping wet-room cores require optimization.
AA1,AA,negative,5,visibility,The lack of visual connections to the outside also requires optimization.
AA1,AA,negative,6,operation,Several operational shortcomings remain to be optimized.
AA2,AA,positive,1,urban integration,The compact building completes a natural height staggering and integrates into the built context as a new centre.
AA2,AA,positive,2,circulation,The break hall subtly zones the school path between the existing buildings.
AA2,AA,positive,3,circulation,Bundling access traffic creates a green recreation area along the east facade.
AA2,AA,positive,3,open space,Bundling access traffic creates a green recreation area along the east facade.
AA2,AA,positive,4,accessibility,The staircase connection from the parking area to the gymnasium level is positive and offers opportunities for outdoor-space design.
AA2,AA,positive,5,circulation,The main entrance is logically positioned and easy to read.
AA2,AA,positive,6,daylight,The zenith-lit exhibition space demonstrates an exciting lighting concept for the access courtyard.
AA2,AA,positive,7,layout,"The room program is basically well solved, with logically grouped units and mostly short distances."
AA2,AA,positive,7,circulation,"The room program is basically well solved, with logically grouped units and mostly short distances."
AA2,AA,positive,8,flexibility,The skeleton structure allows great flexibility for future layouts and changes of use.
AA2,AA,positive,9,structure,The static structures are logically conceived and convincing.
AA2,AA,positive,10,functionality,"The building is well thought out, well developed and makes a good contribution to the task."
AA2,AA,negative,1,urban integration,The school roof is positioned outside the building lines.
AA2,AA,negative,2,safety,The recessed base and its required fall protection have potential for improvement.
AA2,AA,negative,3,facade,The restrained facade supports horizontality but looks like a conventional office building.
AA2,AA,negative,4,expression,The external architectural expression is somewhat incoherent with the interesting interior.
AA2,AA,negative,5,layout,"The entrance, core and atrium create a cramped situation on the first floor."
AA2,AA,negative,6,daylight,The western offices of the Prorectorate are accessed through a dark corridor zone.
AA2,AA,negative,7,layout,The stair landing on the second floor creates a cramped spatial situation.
AA2,AA,negative,8,proportion,Room proportions are not ideal in all cases.
AA2,AA,negative,9,structure,The south-facing column grid in the parking garage is not consistently aligned with the above-ground system.
AA3,AA,positive,1,urban integration,The alignment and height development elegantly mediate between the existing buildings.
AA3,AA,positive,2,urban integration,The square-like piazza interprets the intersecting movement axes with an appropriate urban character.
AA3,AA,positive,3,circulation,The piazza becomes a credible prelude to the main entrance of the new central building.
AA3,AA,positive,4,layout,The layered spatial structure leads to a harmonious disposition of uses across all three storeys.
AA3,AA,positive,5,urban integration,Street-facing studios and workrooms have the potential to enliven the public space.
AA3,AA,positive,6,layout,The floor-plan logic meaningfully groups and structures the different usage groups.
AA3,AA,positive,7,daylight,Diagonal spatial relationships overlap productively with the central light and air space.
AA3,AA,positive,7,ventilation,Diagonal spatial relationships overlap productively with the central light and air space.
AA3,AA,positive,8,structure,The layering principle produces a structurally stable system with a sensible degree of flexibility.
AA3,AA,positive,8,flexibility,The layering principle produces a structurally stable system with a sensible degree of flexibility.
AA3,AA,positive,9,facade,The facade theme develops an expression that addresses the building's all-round orientation.
AA3,AA,negative,1,daylight,"The nearly symmetrical circulation area does not provide optimal daylight everywhere, making orientation difficult."
AA3,AA,negative,1,circulation,"The nearly symmetrical circulation area does not provide optimal daylight everywhere, making orientation difficult."
AA3,AA,negative,2,functionality,"The roof area would lend itself to a terrace, but the exclusively administrative upper floor lacks the necessary public uses."
AA3,AA,negative,3,urban integration,"The stepped structure, together with the building's length and height, appears problematic in the built context."
AA3,AA,negative,4,facade,"The fine facade grid requires internal wall connections to be intercepted by closed window elements, which is not yet convincing externally."
AA3,AA,negative,5,ventilation,The proposed tilt mechanism for natural ventilation provides food for discussion.
AA3,AA,negative,6,cost,The building costs are in the upper range.
AA4,AA,positive,1,urban integration,The clearly cut structure and regular facade form an adequate counterpart to the existing buildings.
AA4,AA,positive,2,urban integration,The resulting intermediate space is articulated as an open square linking the school institution.
AA4,AA,positive,2,open space,The resulting intermediate space is articulated as an open square linking the school institution.
AA4,AA,positive,3,circulation,The main entrance is logically located and easy to find.
AA4,AA,positive,4,accessibility,The school route remains straight and free of additional obstacles.
AA4,AA,positive,5,daylight,"The spacious, well-proportioned central atrium facilitates orientation and lights the central zone."
AA4,AA,positive,6,flexibility,The wide bridges form high-quality common areas that can be used in different ways.
AA4,AA,positive,7,facade,The facade construction is pragmatically designed and well thought out structurally and materially.
AA4,AA,positive,8,proportion,Varied room depths create appropriately deep classrooms and smaller office rooms.
AA4,AA,positive,9,layout,The room program and distribution of uses are largely logical.
AA4,AA,positive,10,landscape,The restrained landscaping is adapted to the respective needs of the users.
AA4,AA,positive,11,urban integration,The project demonstrates a high degree of urban-planning and architectural quality.
AA4,AA,positive,11,expression,The project demonstrates a high degree of urban-planning and architectural quality.
AA4,AA,negative,1,expression,The entrance lacks conciseness and architectural sharpness.
AA4,AA,negative,2,circulation,The vertical circulation is too understated in both findability and architectural formulation.
AA4,AA,negative,3,structure,The longitudinal corridor walls need review in terms of structure and desirable flexibility of use.
AA4,AA,negative,3,flexibility,The longitudinal corridor walls need review in terms of structure and desirable flexibility of use.
AA4,AA,negative,4,functionality,"Space requirements are not met, particularly in the utility area."
AA4,AA,negative,5,topography,The facade structure without a plinth takes little account of the topographical slope.
AA4,AA,negative,6,cost,The building costs are in the upper range.
AA5,AA,positive,1,urban integration,The precise position between the existing buildings confidently establishes the new building as the campus head.
AA5,AA,positive,2,urban integration,The recessed base reduces the apparent height from the street and fits well with the neighbouring buildings.
AA5,AA,positive,3,urban integration,The compact volume preserves the green space while making a striking appearance as the new main building.
AA5,AA,positive,4,facade,The wall bulkheads form a convincing unit with the upper storeys.
AA5,AA,positive,5,circulation,The floating cantilever creates a generous prelude to the large rooms in the base.
AA5,AA,positive,6,circulation,The central staircase provides generous vertical access and brings light into the entrance zone.
AA5,AA,positive,6,daylight,The central staircase provides generous vertical access and brings light into the entrance zone.
AA5,AA,positive,7,layout,The triangular and trapezoidal cut-outs create a spatially exciting sequence.
AA5,AA,positive,8,flexibility,The structural system guarantees long-term flexibility.
AA5,AA,positive,9,facade,The finely structured glass facade lends the building lightness and elegance.
AA5,AA,positive,10,identity,The emblematic appearance is remarkable.
AA5,AA,negative,1,topography,The embankment in front of the artistic-design classrooms has a restrictive effect.
AA5,AA,negative,2,functionality,"An exit and external lounge area on the second floor, as well as a connection to the canteen, are missing."
AA5,AA,negative,2,circulation,"An exit and external lounge area on the second floor, as well as a connection to the canteen, are missing."
AA5,AA,negative,3,flexibility,The wall-panel system is somewhat rigid and restricts the otherwise long-term flexibility.
AA5,AA,negative,4,functionality,"The usable area falls significantly short of the space-allocation plan, with rooms missing or reduced."
AA5,AA,negative,5,proportion,Room proportions and spatial relationships are not convincing in essential parts.
AA5,AA,negative,5,layout,Room proportions and spatial relationships are not convincing in essential parts.
AA5,AA,negative,6,structure,Classrooms on the end facades conflict with the building structure and corridor lighting.
AA5,AA,negative,6,daylight,Classrooms on the end facades conflict with the building structure and corridor lighting.
AA5,AA,negative,7,functionality,"The low floor area, volume and costs result from the incomplete spatial program."
AA5,AA,negative,7,cost,"The low floor area, volume and costs result from the incomplete spatial program."
AA5,AA,negative,8,layout,The break hall lies outside the building envelope.
AA5,AA,negative,9,structure,The wall bulkheads with overhangs appear structurally complex.
AA5,AA,negative,10,structure,The parking-garage load transfer does not match the upper slab structure.
AA6,AA,positive,1,urban integration,The elongated flat structure adopts the neighbouring building's eaves height and has a restrained two-storey appearance toward the street.
AA6,AA,positive,1,scale,The elongated flat structure adopts the neighbouring building's eaves height and has a restrained two-storey appearance toward the street.
AA6,AA,positive,1,massing,The elongated flat structure adopts the neighbouring building's eaves height and has a restrained two-storey appearance toward the street.
AA6,AA,positive,2,circulation,The generous entrance provides precise access and makes it easy for everyone to find.
AA6,AA,positive,2,accessibility,The generous entrance provides precise access and makes it easy for everyone to find.
AA6,AA,positive,3,layout,The project makes full use of the available floor space while retaining the advantage of a two-storey arrangement.
AA6,AA,positive,3,functionality,The project makes full use of the available floor space while retaining the advantage of a two-storey arrangement.
AA6,AA,positive,4,open space,The entrance hall and outdoor space in front of it could become a valued recreational area.
AA6,AA,positive,4,functionality,The entrance hall and outdoor space in front of it could become a valued recreational area.
AA6,AA,positive,5,urban integration,The project has interesting qualities in terms of urban planning and architecture.
AA6,AA,positive,5,expression,The project has interesting qualities in terms of urban planning and architecture.
AA6,AA,negative,1,topography,The cut in the school path detracts from the otherwise confident handling of the topography and severely separates the break hall from the playground.
AA6,AA,negative,1,open space,The cut in the school path detracts from the otherwise confident handling of the topography and severely separates the break hall from the playground.
AA6,AA,negative,1,urban integration,The cut in the school path detracts from the otherwise confident handling of the topography and severely separates the break hall from the playground.
AA6,AA,negative,2,circulation,Traffic from the underground parking entrance partially impairs the entrance square as a place to spend time.
AA6,AA,negative,2,open space,Traffic from the underground parking entrance partially impairs the entrance square as a place to spend time.
AA6,AA,negative,2,safety,Traffic from the underground parking entrance partially impairs the entrance square as a place to spend time.
AA6,AA,negative,3,circulation,The spiral staircase obstructs the hall and restricts its use.
AA6,AA,negative,3,functionality,The spiral staircase obstructs the hall and restricts its use.
AA6,AA,negative,4,daylight,Some horizontal circulation areas are sparsely supplied with natural light.
AA6,AA,negative,4,circulation,Some horizontal circulation areas are sparsely supplied with natural light.
AA6,AA,negative,5,structure,The structural starting position is unfavorable and results in high construction costs.
AA6,AA,negative,5,cost,The structural starting position is unfavorable and results in high construction costs.
AA6,AA,negative,6,facade,The elaborate façade construction and formally forced expression have questionable added value.
AA6,AA,negative,6,expression,The elaborate façade construction and formally forced expression have questionable added value.
AA6,AA,negative,6,cost,The elaborate façade construction and formally forced expression have questionable added value.
AA6,AA,negative,7,urban integration,The architectural expression appears somewhat alien in its context.
AA6,AA,negative,7,identity,The architectural expression appears somewhat alien in its context.
AA6,AA,negative,7,expression,The architectural expression appears somewhat alien in its context.
AA6,AA,negative,8,functionality,"Some rooms are too small for the spatial program, leaving hardly any room for manoeuvre."
AA6,AA,negative,8,flexibility,"Some rooms are too small for the spatial program, leaving hardly any room for manoeuvre."
AA6,AA,negative,9,layout,"The combination of dining, smoking and bicycle access areas is not convincing."
AA6,AA,negative,9,functionality,"The combination of dining, smoking and bicycle access areas is not convincing."
AA6,AA,negative,10,daylight,"Some meeting rooms have little daylight, and almost square classrooms are difficult to use."
AA6,AA,negative,10,functionality,"Some meeting rooms have little daylight, and almost square classrooms are difficult to use."
AA6,AA,negative,11,cost,The form factor and building construction relativize the small-volume advantages and produce mediocre cost efficiency.
AA6,AA,negative,11,massing,The form factor and building construction relativize the small-volume advantages and produce mediocre cost efficiency.
AA7,AA,positive,1,scale,The restriction to two upper storeys helps the building appear low.
AA7,AA,positive,1,massing,The restriction to two upper storeys helps the building appear low.
AA7,AA,positive,2,circulation,The entrance on the western edge intercepts motorized traffic and relieves through traffic.
AA7,AA,positive,2,safety,The entrance on the western edge intercepts motorized traffic and relieves through traffic.
AA7,AA,positive,3,urban integration,The attractive upper-level forecourt links well with the canteen and the rest of the complex.
AA7,AA,positive,3,circulation,The attractive upper-level forecourt links well with the canteen and the rest of the complex.
AA7,AA,positive,3,open space,The attractive upper-level forecourt links well with the canteen and the rest of the complex.
AA7,AA,positive,4,layout,The inner hall with surrounding galleries and varied spatial layering creates a generous interior space.
AA7,AA,positive,4,expression,The inner hall with surrounding galleries and varied spatial layering creates a generous interior space.
AA7,AA,positive,5,structure,The skeleton construction provides a good structure that can flexibly accommodate large and small room requirements over the long term.
AA7,AA,positive,5,flexibility,The skeleton construction provides a good structure that can flexibly accommodate large and small room requirements over the long term.
AA7,AA,positive,6,urban integration,The project is a successful contribution seeking a relationship with the previous buildings through its generous interior space.
AA7,AA,positive,6,identity,The project is a successful contribution seeking a relationship with the previous buildings through its generous interior space.
AA7,AA,negative,1,massing,The generously dimensioned atrium increases the building depth and leads to a critical proximity to the old gymnasium.
AA7,AA,negative,1,urban integration,The generously dimensioned atrium increases the building depth and leads to a critical proximity to the old gymnasium.
AA7,AA,negative,1,proportion,The generously dimensioned atrium increases the building depth and leads to a critical proximity to the old gymnasium.
AA7,AA,negative,2,circulation,The entrance solution is too prominent next to the main entrance.
AA7,AA,negative,2,urban integration,The entrance solution is too prominent next to the main entrance.
AA7,AA,negative,3,topography,The plinth connection is understandable but too high because of the change in level.
AA7,AA,negative,3,urban integration,The plinth connection is understandable but too high because of the change in level.
AA7,AA,negative,3,scale,The plinth connection is understandable but too high because of the change in level.
AA7,AA,negative,4,open space,The narrowness beside the gymnasium and artificial terrain excavation are disadvantageous for the intended elementary-school outdoor space.
AA7,AA,negative,4,topography,The narrowness beside the gymnasium and artificial terrain excavation are disadvantageous for the intended elementary-school outdoor space.
AA7,AA,negative,4,functionality,The narrowness beside the gymnasium and artificial terrain excavation are disadvantageous for the intended elementary-school outdoor space.
AA7,AA,negative,5,layout,"The principal's office and some narrow, long offices and classrooms are not ideally positioned or dimensioned."
AA7,AA,negative,5,functionality,"The principal's office and some narrow, long offices and classrooms are not ideally positioned or dimensioned."
AA7,AA,negative,6,structure,Some classrooms connected to the atrium are problematic because of the structural column arrangement.
